Time(ms),X(mG),Y(mG),Z(mG),Classification
,-2832,3760,2888,Jumping Jacks
,-3072,3152,2320,Jumping Jacks
,-2456,2472,1816,Jumping Jacks
,-2168,1768,1440,Jumping Jacks
,-2480,1472,1672,Jumping Jacks
,-2656,1192,1632,Jumping Jacks
,-2728,1024,2240,Jumping Jacks
,-2880,1200,2488,Jumping Jacks
,-2816,1168,2264,Jumping Jacks
,-2440,968,1080,Jumping Jacks
,-2264,120,-1232,Jumping Jacks
,-2760,-1336,-4080,Jumping Jacks
,-3416,-2704,-3664,Jumping Jacks
,-3744,-2424,-1440,Jumping Jacks
,-3912,-928,2864,Jumping Jacks
,-3992,712,3632,Jumping Jacks
,-4032,1096,3200,Jumping Jacks
,-4056,1592,2576,Jumping Jacks
,-3704,1752,2288,Jumping Jacks
,-3160,1664,2096,Jumping Jacks
,-1896,1896,2328,Jumping Jacks
,-1680,2840,3320,Jumping Jacks
,-2408,3456,3712,Jumping Jacks
,-2680,3768,3664,Jumping Jacks
,-2208,3360,2320,Jumping Jacks
,-1656,2464,1528,Jumping Jacks
,-1848,1840,1432,Jumping Jacks
,-2240,1648,1624,Jumping Jacks
,-2600,1464,2184,Jumping Jacks
,-2872,1400,2456,Jumping Jacks
,-2904,1376,2424,Jumping Jacks
,-2616,1200,1560,Jumping Jacks
,-2064,480,-600,Jumping Jacks
,-2472,-1120,-3608,Jumping Jacks
,-2760,-2600,-3944,Jumping Jacks
,-3424,-2880,-1440,Jumping Jacks
,-3752,-1136,1384,Jumping Jacks
,-3912,392,3504,Jumping Jacks
,-3768,1080,3840,Jumping Jacks
,-3552,1320,3648,Jumping Jacks
,-3256,1344,3080,Jumping Jacks
,-2904,1400,2576,Jumping Jacks
,-2072,1560,2616,Jumping Jacks
,-1040,2544,3360,Jumping Jacks
,-1376,3312,4080,Jumping Jacks
,-2056,3696,4080,Jumping Jacks
,-2272,3464,3528,Jumping Jacks
,-1816,2408,2392,Jumping Jacks
,-1784,1672,1976,Jumping Jacks
,-2160,1208,2208,Jumping Jacks
,-2664,1200,2184,Jumping Jacks
,-3184,1528,2968,Jumping Jacks
,-3448,1536,2872,Jumping Jacks
,-3304,1296,2368,Jumping Jacks
,-3176,1264,416,Jumping Jacks
,-3040,344,-3880,Jumping Jacks
,-3288,-880,-4080,Jumping Jacks
,-3384,-2080,-4080,Jumping Jacks
,-3728,-1896,-1080,Jumping Jacks
,-3904,-432,3456,Jumping Jacks
,-3992,648,4080,Jumping Jacks
,-3976,856,4080,Jumping Jacks
,-3752,1112,3632,Jumping Jacks
,-3248,1592,3408,Jumping Jacks
,-2016,1416,3560,Jumping Jacks
,-472,2520,4080,Jumping Jacks
,40,3296,4080,Jumping Jacks
,-816,3680,4080,Jumping Jacks
,-2328,3112,4080,Jumping Jacks
,-2448,2312,3280,Jumping Jacks
,-2168,1552,2176,Jumping Jacks
,-2200,1104,1856,Jumping Jacks
,-2440,872,2184,Jumping Jacks
,-2720,1088,2512,Jumping Jacks
,-3024,1456,2544,Jumping Jacks
,-2992,1568,1752,Jumping Jacks
,-2704,1024,80,Jumping Jacks
,-2688,-744,-2584,Jumping Jacks
,-2648,-2416,-3288,Jumping Jacks
,-2776,-3232,-3128,Jumping Jacks
,-3416,-2712,-904,Jumping Jacks
,-3752,-880,2160,Jumping Jacks
,-3912,664,3520,Jumping Jacks
,-3952,1232,3720,Jumping Jacks
,-3720,1488,3368,Jumping Jacks
,-3400,1680,2848,Jumping Jacks
,-2704,1824,3472,Jumping Jacks
,-752,2584,3832,Jumping Jacks
,-480,3328,4080,Jumping Jacks
,-1336,3704,4080,Jumping Jacks
,-2424,3616,3904,Jumping Jacks
,-2672,2944,2784,Jumping Jacks
,-2248,2256,1368,Jumping Jacks
,-2128,1616,1456,Jumping Jacks
,-2264,1176,1632,Jumping Jacks
,-2496,1080,2792,Jumping Jacks
,-2464,992,2864,Jumping Jacks
,-2440,600,2352,Jumping Jacks
,-2416,520,-648,Jumping Jacks
,-2288,-280,-2560,Jumping Jacks
,-2656,-1224,-4072,Jumping Jacks
,-2704,-1984,-3344,Jumping Jacks
,-2688,-1968,-1560,Jumping Jacks
,-3384,-832,1088,Jumping Jacks
,-3728,528,3048,Jumping Jacks
,-3640,1096,3272,Jumping Jacks
,-3448,1264,3336,Jumping Jacks
,-3040,1360,2400,Jumping Jacks
,-2712,1576,2544,Jumping Jacks
,-1792,1816,2736,Jumping Jacks
,-944,2712,3160,Jumping Jacks
,-1728,3392,4080,Jumping Jacks
,-2112,3736,3976,Jumping Jacks
,-1912,3272,3352,Jumping Jacks
,-1408,2376,2072,Jumping Jacks
,-1512,1704,2064,Jumping Jacks
,-2032,1336,2424,Jumping Jacks
,-2616,1496,2800,Jumping Jacks
,-3160,1720,3024,Jumping Jacks
,-3552,1824,2696,Jumping Jacks
,-3536,1744,1640,Jumping Jacks
,-3176,1168,16,Jumping Jacks
,-3336,-416,-2768,Jumping Jacks
,-3568,-2248,-3568,Jumping Jacks
,-3360,-3032,-2416,Jumping Jacks
,-3664,-2352,400,Jumping Jacks
,-3872,-896,3576,Jumping Jacks
,-3976,304,4016,Jumping Jacks
