Time(ms),X(mG),Y(mG),Z(mG),Classification
 1437933378909, +176, -688, +392,Situps
 1437933378948, +352, -624, +816,Situps
 1437933378987, +464, -440,+1056,Situps
 1437933379026, +680, -376,+1208,Situps
 1437933379065, +600, -456,+1216,Situps
 1437933379104,+1024, -320,+2360,Situps
 1437933379143, +784, -288,+1144,Situps
 1437933379182, +752, -112,+1072,Situps
 1437933379221, +744,  +96, +896,Situps
 1437933379260, +776, +112, +896,Situps
 1437933379299, +888,  -16, +696,Situps
 1437933379338, +872,  +48, +664,Situps
 1437933379377, +848, +104, +832,Situps
 1437933379416, +880,  +88, +744,Situps
 1437933379455, +880,  +96, +848,Situps
 1437933379494, +920,   +8, +992,Situps
 1437933379533, +968,  +96,+1176,Situps
 1437933379572,+1024,  +72,+1296,Situps
 1437933379611,+1208,  -16,+1512,Situps
 1437933379650,+1096,  -32,+1184,Situps
 1437933379689,+1032,  -56,+1160,Situps
 1437933379728, +872, -176,+1152,Situps
 1437933379767, +672, -144, +464,Situps
 1437933379806, +568, -376, +264,Situps
 1437933379845, +480, -384,  -72,Situps
 1437933379884, +400, -456,  +88,Situps
 1437933379923, +416, -688,  +40,Situps
 1437933379962, +352, -616,  +56,Situps
 1437933380001, +304, -688, -176,Situps
 1437933380040, +224, -784, -344,Situps
 1437933380079,  +80, -736, -480,Situps
 1437933380118,  -72, -768, -472,Situps
 1437933380157, -104, -864, -592,Situps
 1437933380196, -136, -800, -464,Situps
 1437933380235, -112, -840, -448,Situps
 1437933380274, -104, -856, -448,Situps
 1437933380313,  -88, -792, -352,Situps
 1437933380352,  -80, -752, -360,Situps
 1437933380391,  -48, -736, -328,Situps
 1437933380430,  -32, -656, -488,Situps
 1437933380469,   -8, -744, -504,Situps
 1437933380508,  -16, -704, -504,Situps
 1437933380547,  -32, -720, -560,Situps
 1437933380586,  -56, -608, -624,Situps
 1437933380625,  -80, -584, -680,Situps
 1437933380664, -104, -480, -688,Situps
 1437933380703, -144, -480, -928,Situps
 1437933380742, -152, -464,-1024,Situps
 1437933380781, -176, -464,-1064,Situps
 1437933380820, -192, -424,-1104,Situps
 1437933380859, -208, -376,-1176,Situps
 1437933380898, -216, -376,-1288,Situps
 1437933380937, -248, -392,-1216,Situps
 1437933380976, -264, -368,-1272,Situps
 1437933381015, -264, -424,-1224,Situps
 1437933381054, -264, -416,-1240,Situps
 1437933381093, -264, -424,-1088,Situps
 1437933381132, -248, -424,-1120,Situps
 1437933381171, -232, -456,-1024,Situps
 1437933381210, -224, -464, -896,Situps
 1437933381249, -224, -464, -800,Situps
 1437933381288, -208, -472, -848,Situps
 1437933381327, -192, -488, -760,Situps
 1437933381366, -200, -544, -656,Situps
