Time(ms),X(mG),Y(mG),Z(mG),Classification
 1438774852076,+1024, +216,  -72,Staying Still
 1438774852116,+1008, +208,  -80,Staying Still
 1438774852156,+1016, +208, -104,Staying Still
 1438774852196,+1024, +200,  -72,Staying Still
 1438774852236,+1024, +208, -104,Staying Still
 1438774852276,+1024, +208,  -72,Staying Still
 1438774852316,+1016, +208,  -72,Staying Still
 1438774852356,+1016, +208,  -96,Staying Still
 1438774852396,+1024, +208,  -88,Staying Still
 1438774852436,+1024, +208,  -80,Staying Still
 1438774852476,+1024, +208,  -72,Staying Still
 1438774852516,+1024, +184,  -96,Staying Still
 1438774852556,+1024, +192,  -88,Staying Still
 1438774852596,+1032, +200,  -64,Staying Still
 1438774852636,+1024, +200,  -72,Staying Still
 1438774852676,+1016, +200,  -88,Staying Still
 1438774852716,+1024, +200,  -96,Staying Still
 1438774852756,+1024, +200,  -80,Staying Still
 1438774852796,+1024, +192,  -72,Staying Still
 1438774852836,+1016, +192,  -96,Staying Still
 1438774852876,+1024, +200,  -80,Staying Still
 1438774852916,+1032, +200,  -80,Staying Still
 1438774852956,+1024, +200,  -96,Staying Still
 1438774852996,+1016, +192,  -80,Staying Still
 1438774853036,+1016, +184,  -88,Staying Still
 1438774853076,+1016, +184,  -96,Staying Still
 1438774853116,+1024, +192,  -80,Staying Still
 1438774853156,+1024, +192,  -72,Staying Still
 1438774853196,+1024, +192,  -80,Staying Still
 1438774853236,+1024, +192,  -96,Staying Still
 1438774853276,+1024, +192,  -88,Staying Still
 1438774853316,+1024, +192,  -80,Staying Still
 1438774853356,+1016, +200,  -88,Staying Still
 1438774853396,+1024, +200,  -88,Staying Still
 1438774853436,+1016, +192,  -80,Staying Still
 1438774853476,+1024, +200, -104,Staying Still
 1438774853516,+1024, +208,  -64,Staying Still
 1438774853556,+1024, +200,  -88,Staying Still
 1438774853596,+1040, +200,  -88,Staying Still
 1438774853636,+1024, +208,  -88,Staying Still
 1438774853676,+1024, +200,  -96,Staying Still
 1438774853716,+1024, +208,  -80,Staying Still
 1438774853756,+1024, +208,  -80,Staying Still
 1438774853796,+1016, +192,  -72,Staying Still
 1438774853836,+1024, +200,  -88,Staying Still
 1438774853876,+1024, +200,  -64,Staying Still
 1438774853916,+1024, +208,  -80,Staying Still
 1438774853956,+1024, +208,  -80,Staying Still
 1438774853996,+1024, +208,  -88,Staying Still
 1438774854036,+1024, +216,  -80,Staying Still
 1438774854076,+1016, +208,  -64,Staying Still
 1438774854116,+1024, +208,  -72,Staying Still
 1438774854156,+1024, +200,  -88,Staying Still
 1438774854196,+1024, +208,  -80,Staying Still
 1438774854236,+1016, +200,  -80,Staying Still
 1438774854276,+1024, +200,  -80,Staying Still
 1438774854316,+1024, +208,  -96,Staying Still
 1438774854356,+1024, +200,  -80,Staying Still
 1438774854396,+1024, +200,  -72,Staying Still
 1438774854436,+1024, +200,  -80,Staying Still
 1438774854476,+1016, +208,  -80,Staying Still
 1438774854516,+1016, +208,  -80,Staying Still
 1438774854556,+1024, +200, -104,Staying Still
 1438774854596,+1016, +200,  -72,Staying Still
 1438774854636,+1024, +200,  -80,Staying Still
 1438774854676,+1024, +200,  -72,Staying Still
 1438774854716,+1024, +192,  -88,Staying Still
 1438774854756,+1032, +200,  -72,Staying Still
 1438774854796,+1024, +200,  -88,Staying Still
 1438774854836,+1024, +208,  -72,Staying Still
 1438774854876,+1024, +208,  -88,Staying Still
 1438774854916,+1024, +200,  -72,Staying Still
 1438774854956,+1024, +184,  -88,Staying Still
 1438774854996,+1024, +200,  -64,Staying Still
 1438774855036,+1032, +200,  -80,Staying Still
 1438774855076,+1024, +208,  -80,Staying Still
 1438774855116,+1032, +208,  -88,Staying Still
 1438774855156,+1024, +208,  -72,Staying Still
 1438774855196,+1024, +208,  -88,Staying Still
 1438774855236,+1024, +192,  -64,Staying Still
 1438774855276,+1024, +192,  -88,Staying Still
 1438774855316,+1032, +192,  -72,Staying Still
 1438774855356,+1024, +184,  -72,Staying Still
 1438774855396,+1016, +184,  -72,Staying Still
 1438774855436,+1024, +208,  -88,Staying Still
 1438774855476,+1024, +200,  -64,Staying Still
 1438774855516,+1024, +200,  -72,Staying Still
 1438774855556,+1024, +200,  -96,Staying Still
 1438774855596,+1024, +208,  -80,Staying Still
 1438774855636,+1024, +192,  -80,Staying Still
 1438774855676,+1024, +200,  -72,Staying Still
 1438774855716,+1032, +200,  -88,Staying Still
 1438774855756,+1024, +200,  -80,Staying Still
 1438774855796,+1024, +200,  -88,Staying Still
 1438774855836,+1024, +192,  -80,Staying Still
 1438774855876,+1024, +192,  -96,Staying Still
 1438774855916,+1024, +200,  -80,Staying Still
 1438774855956,+1024, +200,  -72,Staying Still
 1438774855996,+1024, +200,  -72,Staying Still
 1438774856036,+1024, +200,  -72,Staying Still
 1438774856076,+1024, +200,  -72,Staying Still
 1438774856116,+1024, +200,  -88,Staying Still
 1438774856156,+1016, +192,  -72,Staying Still
 1438774856196,+1016, +192,  -72,Staying Still
 1438774856236,+1016, +200,  -80,Staying Still
 1438774856276,+1024, +200,  -80,Staying Still
 1438774856316,+1024, +192,  -88,Staying Still
 1438774856356,+1016, +200,  -72,Staying Still
 1438774856396,+1024, +200,  -80,Staying Still
 1438774856436,+1024, +192,  -72,Staying Still
 1438774856476,+1024, +184,  -72,Staying Still
 1438774856516,+1016, +192,  -80,Staying Still
 1438774856556,+1024, +200,  -96,Staying Still
 1438774856596,+1024, +200,  -88,Staying Still
 1438774856636,+1032, +200,  -80,Staying Still
 1438774856676,+1024, +192,  -80,Staying Still
 1438774856716,+1016, +184,  -72,Staying Still
 1438774856756,+1024, +184,  -80,Staying Still
 1438774856796,+1016, +200,  -72,Staying Still
 1438774856836,+1024, +200,  -72,Staying Still
 1438774856876,+1024, +200,  -88,Staying Still
 1438774856916,+1016, +192,  -64,Staying Still
 1438774856956,+1024, +184,  -72,Staying Still
 1438774856996,+1024, +192,  -80,Staying Still
 1438774857036,+1024, +200,  -64,Staying Still
 1438774857076,+1024, +200,  -80,Staying Still
 1438774857116,+1024, +200, -104,Staying Still
 1438774857156,+1024, +200,  -72,Staying Still
 1438774857196,+1024, +200,  -72,Staying Still
 1438774857236,+1016, +200,  -72,Staying Still
 1438774857276,+1024, +200,  -88,Staying Still
 1438774857316,+1016, +192,  -88,Staying Still
 1438774857356,+1016, +192,  -88,Staying Still
 1438774857396,+1016, +192,  -80,Staying Still
 1438774857436,+1008, +200,  -80,Staying Still
 1438774857476,+1016, +200,  -80,Staying Still
 1438774857516,+1024, +192,  -80,Staying Still
 1438774857556,+1016, +192,  -72,Staying Still
 1438774857596,+1024, +192,  -80,Staying Still
 1438774857636,+1024, +192,  -64,Staying Still
 1438774857676,+1016, +192,  -64,Staying Still
 1438774857716,+1024, +192,  -80,Staying Still
 1438774857756,+1024, +192,  -72,Staying Still
 1438774857796,+1024, +200,  -64,Staying Still
 1438774857836,+1024, +200,  -72,Staying Still
 1438774857876,+1024, +200,  -72,Staying Still
 1438774857916,+1024, +192,  -72,Staying Still
 1438774857956,+1024, +192,  -72,Staying Still
 1438774857996,+1024, +200,  -72,Staying Still
 1438774858036,+1016, +200,  -56,Staying Still
 1438774858076,+1024, +192,  -72,Staying Still
 1438774858116,+1024, +216,  -88,Staying Still
 1438774858156,+1024, +200,  -80,Staying Still
 1438774858196,+1024, +200,  -64,Staying Still
 1438774858236,+1032, +200,  -72,Staying Still
 1438774858276,+1024, +200,  -64,Staying Still
 1438774858316,+1024, +184,  -72,Staying Still
 1438774858356,+1024, +184,  -64,Staying Still
 1438774858396,+1024, +192,  -56,Staying Still
 1438774858436,+1032, +192,  -80,Staying Still
 1438774858476,+1032, +192,  -72,Staying Still
 1438774858516,+1024, +192,  -80,Staying Still
 1438774858556,+1024, +192,  -88,Staying Still
 1438774858596,+1024, +192,  -72,Staying Still
 1438774858636,+1024, +192,  -64,Staying Still
 1438774858676,+1024, +192,  -56,Staying Still
 1438774858716,+1024, +192,  -64,Staying Still
 1438774858756,+1024, +192,  -72,Staying Still
 1438774858796,+1024, +184,  -64,Staying Still
 1438774858836,+1024, +184,  -64,Staying Still
 1438774858876,+1016, +192,  -72,Staying Still
 1438774858916,+1024, +200,  -72,Staying Still
 1438774858956,+1024, +192,  -80,Staying Still
 1438774858996,+1016, +192,  -72,Staying Still
 1438774859036,+1016, +192,  -64,Staying Still
 1438774859076,+1016, +192,  -64,Staying Still
 1438774859116,+1024, +184,  -80,Staying Still
 1438774859156,+1024, +184,  -72,Staying Still
 1438774859196,+1024, +184,  -80,Staying Still
 1438774859236,+1024, +184,  -72,Staying Still
 1438774859276,+1008, +192,  -72,Staying Still
 1438774859316,+1016, +200,  -64,Staying Still
 1438774859356,+1016, +200,  -72,Staying Still
 1438774859396,+1024, +200,  -64,Staying Still
 1438774859436,+1024, +200,  -64,Staying Still
 1438774859476,+1024, +200,  -80,Staying Still
 1438774859516,+1016, +200,  -64,Staying Still
 1438774859556,+1024, +192,  -96,Staying Still
 1438774859596,+1024, +192,  -64,Staying Still
 1438774859636,+1024, +192,  -88,Staying Still
 1438774859676,+1024, +192,  -80,Staying Still
 1438774859716,+1024, +208,  -80,Staying Still
 1438774859756,+1024, +200,  -80,Staying Still
 1438774859796,+1024, +200,  -80,Staying Still
 1438774859836,+1016, +200,  -72,Staying Still
 1438774859876,+1024, +192,  -72,Staying Still
 1438774859916,+1024, +192,  -80,Staying Still
 1438774859956,+1024, +200,  -80,Staying Still
 1438774859996,+1024, +200,  -80,Staying Still
 1438774860036,+1016, +200,  -80,Staying Still
 1438774860076,+1016, +200,  -56,Staying Still
 1438774860116,+1016, +192,  -72,Staying Still
 1438774860156,+1016, +200,  -64,Staying Still
 1438774860196,+1024, +200,  -80,Staying Still
 1438774860236,+1024, +192,  -80,Staying Still
 1438774860276,+1016, +200,  -80,Staying Still
 1438774860316,+1024, +200,  -72,Staying Still
 1438774860356,+1024, +200,  -80,Staying Still
 1438774860396,+1024, +200,  -80,Staying Still
 1438774860436,+1024, +200,  -64,Staying Still
 1438774860476,+1024, +200,  -80,Staying Still
 1438774860516,+1016, +200,  -64,Staying Still
 1438774860556,+1024, +208,  -88,Staying Still
 1438774860596,+1024, +208,  -80,Staying Still
 1438774860636,+1024, +200,  -80,Staying Still
 1438774860676,+1016, +200,  -80,Staying Still
 1438774860716,+1016, +200,  -64,Staying Still
 1438774860756,+1016, +208,  -88,Staying Still
 1438774860796,+1040, +208,  -64,Staying Still
 1438774860836,+1032, +208, -112,Staying Still
 1438774860876,+1024, +208,  -80,Staying Still
 1438774860916,+1024, +200,  -80,Staying Still
 1438774860956,+1024, +200,  -72,Staying Still
 1438774860996,+1016, +208,  -80,Staying Still
 1438774861036,+1016, +208,  -72,Staying Still
 1438774861076,+1024, +208,  -64,Staying Still
 1438774861116,+1024, +208,  -80,Staying Still
 1438774861156,+1032, +208,  -64,Staying Still
 1438774861196,+1040, +208,  -88,Staying Still
 1438774861236,+1040, +208,  -88,Staying Still
 1438774861276,+1040, +208,  -72,Staying Still
 1438774861316,+1032, +216,  -72,Staying Still
 1438774861356,+1024, +208,  -80,Staying Still
 1438774861396,+1024, +200,  -72,Staying Still
 1438774861436,+1024, +200,  -72,Staying Still
 1438774861476,+1016, +208,  -64,Staying Still
 1438774861516,+1016, +200,  -88,Staying Still
 1438774861556,+1016, +200,  -80,Staying Still
 1438774861596,+1016, +208,  -64,Staying Still
 1438774861636,+1032, +200,  -72,Staying Still
 1438774861676,+1024, +208,   +0,Staying Still
 1438774861716,+1032, +224,  -56,Staying Still
 1438774861756,+1032, +216,  -40,Staying Still
 1438774861796,+1024, +216,  -64,Staying Still
 1438774861836,+1024, +208,  -80,Staying Still
 1438774861876,+1016, +208,  -80,Staying Still
 1438774861916,+1024, +224,  -88,Staying Still
 1438774861956,+1024, +216,  -80,Staying Still
 1438774861996,+1032, +208,  -72,Staying Still
 1438774862036,+1024, +208,  -64,Staying Still
 1438774862076,+1040, +208,  -88,Staying Still
 1438774862116,+1032, +208,  -80,Staying Still
 1438774862156,+1032, +208,  -56,Staying Still
 1438774862196,+1024, +192,  -64,Staying Still
 1438774862236,+1024, +216,  -80,Staying Still
 1438774862276,+1032, +200, -112,Staying Still
 1438774862316,+1032, +208,  -64,Staying Still
 1438774862356,+1016, +208, -104,Staying Still
 1438774862396,+1024, +208,  -72,Staying Still
 1438774862436,+1024, +208,  -72,Staying Still
 1438774862476,+1032, +200,  -40,Staying Still
 1438774862516,+1024, +192,  -88,Staying Still
 1438774862556,+1032, +192,  -88,Staying Still
 1438774862596,+1024, +232,  -80,Staying Still
 1438774862636,+1016, +224,  -72,Staying Still
 1438774862676,+1032, +216,  -72,Staying Still
 1438774862716,+1032, +208,  -88,Staying Still
 1438774862756,+1008, +216,  -48,Staying Still
 1438774862796,+1016, +208,  -72,Staying Still
 1438774862836,+1016, +192,  -32,Staying Still
 1438774862876,+1024, +200,  -80,Staying Still
 1438774862916,+1024, +200,  -64,Staying Still
 1438774862956,+1016, +192,  -64,Staying Still
 1438774862996,+1016, +192,  -80,Staying Still
 1438774863036,+1000, +200,  -56,Staying Still
 1438774863076,+1008, +216,  -64,Staying Still
 1438774863116,+1016, +216,  -80,Staying Still
 1438774863156,+1016, +208,  -56,Staying Still
 1438774863196, +992, +208,  -64,Staying Still
 1438774863236,+1008, +192,  -64,Staying Still
 1438774863276,+1016, +192,  -72,Staying Still
 1438774863316,+1008, +224,  -48,Staying Still
 1438774863356,+1016, +216,  -72,Staying Still
 1438774863396,+1016, +208,  -96,Staying Still
 1438774863436,+1024, +192,  -64,Staying Still
 1438774863476,+1016, +192,  -56,Staying Still
 1438774863516,+1024, +200,  -56,Staying Still
 1438774863556,+1024, +200,  -64,Staying Still
 1438774863596,+1024, +192, -112,Staying Still
 1438774863636,+1024, +208,  -64,Staying Still
 1438774863676,+1040, +208,  -64,Staying Still
 1438774863716,+1024, +200, -104,Staying Still
 1438774863756,+1016, +208,  -64,Staying Still
 1438774863796,+1024, +208,  -88,Staying Still
 1438774863836,+1008, +200,  -80,Staying Still
 1438774863876,+1008, +192,  -56,Staying Still
 1438774863916,+1016, +192,  -56,Staying Still
 1438774863956,+1032, +192,  -88,Staying Still
 1438774863996,+1040, +192,  -72,Staying Still
 1438774864036,+1024, +184,  -80,Staying Still
 1438774864076,+1032, +200, -112,Staying Still
 1438774864116,+1024, +216,  -72,Staying Still
 1438774864156,+1032, +216, -104,Staying Still
 1438774864196,+1024, +192,  -96,Staying Still
 1438774864236,+1024, +200,  -96,Staying Still
 1438774864276,+1008, +200,  -40,Staying Still
 1438774864316,+1008, +208,  -88,Staying Still
 1438774864356,+1016, +208,  -56,Staying Still
 1438774864396,+1024, +208,  -96,Staying Still
 1438774864436,+1016, +208,  -40,Staying Still
 1438774864476,+1016, +224,  -48,Staying Still
 1438774864516,+1008, +208, -104,Staying Still
 1438774864556,+1032, +224,  -72,Staying Still
 1438774864596,+1016, +208,  -56,Staying Still
 1438774864636,+1024, +200,  -80,Staying Still
 1438774864676,+1008, +200,  -64,Staying Still
 1438774864716,+1016, +208,  -32,Staying Still
 1438774864756,+1024, +216,  -56,Staying Still
 1438774864796,+1040, +192,  -64,Staying Still
 1438774864836,+1048, +200,  -64,Staying Still
 1438774864876,+1024, +224,  -56,Staying Still
 1438774864916,+1024, +232, -104,Staying Still
 1438774864956,+1024, +216,  -48,Staying Still
 1438774864996,+1024, +216,  -72,Staying Still
 1438774865036,+1024, +224,  -64,Staying Still
 1438774865076,+1008, +216,  -64,Staying Still
 1438774865116,+1008, +216,  -80,Staying Still
 1438774865156,+1000, +208,  -64,Staying Still
 1438774865196,+1008, +200,  -96,Staying Still
 1438774865236,+1016, +200,  -88,Staying Still
 1438774865276,+1024, +200,  -64,Staying Still
 1438774865316,+1016, +200,  -88,Staying Still
 1438774865356,+1032, +208,  -88,Staying Still
 1438774865396,+1024, +224,  -88,Staying Still
 1438774865436,+1016, +200,  -48,Staying Still
 1438774865476,+1000, +192,  -72,Staying Still
 1438774865516,+1016, +192,  -64,Staying Still
 1438774865556,+1016, +200,  -72,Staying Still
 1438774865596,+1016, +200,  -64,Staying Still
 1438774865636,+1024, +216,  -72,Staying Still
 1438774865676,+1000, +200,  -88,Staying Still
 1438774865716,+1032, +200,  -96,Staying Still
 1438774865756,+1032, +208,  -80,Staying Still
 1438774865796,+1016, +208,  -80,Staying Still
 1438774865836,+1016, +200,  -72,Staying Still
 1438774865876,+1008, +200, -152,Staying Still
 1438774865916, +984, +224,  -80,Staying Still
 1438774865956,+1000, +224,  -72,Staying Still
 1438774865996,+1024, +208,  -96,Staying Still
 1438774866036,+1024, +240,  -80,Staying Still
 1438774866076,+1016, +240,  -24,Staying Still
 1438774866116,+1024, +240,  -56,Staying Still
 1438774866156,+1024, +224,  -72,Staying Still
 1438774866196,+1024, +208, -104,Staying Still
 1438774866236,+1016, +200, -136,Staying Still
 1438774866276, +992, +192,  -72,Staying Still
 1438774866316,+1008, +200,  -40,Staying Still
 1438774866356,+1024, +208,  -64,Staying Still
 1438774866396,+1008, +208,  -80,Staying Still
 1438774866436,+1008, +208, -104,Staying Still
 1438774866476,+1008, +200,  -72,Staying Still
 1438774866516,+1016, +208,  -80,Staying Still
 1438774866556,+1016, +208,  -88,Staying Still
 1438774866596,+1016, +192, -104,Staying Still
 1438774866636,+1016, +192,  -56,Staying Still
 1438774866676,+1016, +200,  -32,Staying Still
 1438774866716,+1008, +200,  -64,Staying Still
 1438774866756,+1024, +176,  -72,Staying Still
 1438774866796,+1048, +176,  -96,Staying Still
 1438774866836,+1032, +184, -104,Staying Still
 1438774866876,+1032, +200,  -72,Staying Still
 1438774866916,+1024, +200,  -80,Staying Still
 1438774866956,+1024, +208,  -72,Staying Still
 1438774866996,+1024, +216,  -80,Staying Still
 1438774867036,+1032, +200,  -88,Staying Still
 1438774867076,+1016, +192,  -88,Staying Still
 1438774867116,+1016, +200,  -80,Staying Still
 1438774867156,+1024, +192,  -72,Staying Still
 1438774867196,+1024, +192,  -72,Staying Still
 1438774867236,+1024, +192,  -80,Staying Still
 1438774867276,+1016, +184,  -80,Staying Still
 1438774867316,+1024, +200,  -80,Staying Still
 1438774867356,+1032, +200,  -88,Staying Still
 1438774867396,+1024, +200,  -80,Staying Still
 1438774867436,+1024, +200,  -96,Staying Still
 1438774867476,+1024, +200,  -96,Staying Still
 1438774867516,+1024, +200,  -88,Staying Still
 1438774867556,+1024, +224,  -64,Staying Still
 1438774867596,+1032, +208, -112,Staying Still
 1438774867636,+1024, +208,  -88,Staying Still
 1438774867676,+1024, +200,  -88,Staying Still
 1438774867716,+1024, +192, -112,Staying Still
 1438774867756,+1024, +184,  -88,Staying Still
 1438774867796,+1016, +176,  -72,Staying Still
 1438774867836,+1024, +176,  -80,Staying Still
 1438774867876,+1024, +176,  -72,Staying Still
 1438774867916,+1032, +192, -120,Staying Still
 1438774867956,+1024, +200,  -88,Staying Still
 1438774867996,+1016, +200,  -96,Staying Still
 1438774868036,+1016, +192,  -80,Staying Still
 1438774868076,+1016, +200,  -88,Staying Still
 1438774868116,+1024, +200,  -72,Staying Still
 1438774868156,+1024, +192,  -72,Staying Still
 1438774868196,+1024, +184,  -80,Staying Still
 1438774868236,+1024, +176,  -72,Staying Still
 1438774868276,+1024, +176,  -80,Staying Still
 1438774868316,+1024, +192,  -80,Staying Still
 1438774868356,+1024, +200,  -80,Staying Still
 1438774868396,+1032, +192,  -72,Staying Still
 1438774868436,+1024, +200,  -88,Staying Still
 1438774868476,+1024, +192,  -80,Staying Still
 1438774868516,+1032, +192,  -80,Staying Still
 1438774868556,+1032, +184,  -72,Staying Still
 1438774868596,+1032, +192,  -88,Staying Still
 1438774868636,+1024, +192,  -88,Staying Still
 1438774868676,+1024, +192,  -64,Staying Still
 1438774868716,+1016, +192,  -64,Staying Still
 1438774868756,+1024, +192,  -56,Staying Still
 1438774868796,+1024, +176,  -72,Staying Still
 1438774868836,+1016, +176,  -80,Staying Still
 1438774868876,+1024, +184,  -88,Staying Still
 1438774868916,+1024, +192,  -72,Staying Still
 1438774868956,+1024, +200,  -80,Staying Still
 1438774868996,+1024, +192,  -88,Staying Still
 1438774869036,+1024, +184,  -72,Staying Still
