Time (s),X(mG),Y(mG),Z(mG),Classification
10.68,1168,328,-320,Walking
10.72,1128,312,-288,Walking
10.76,1032,304,-288,Walking
10.8,936,296,-280,Walking
10.84,912,288,-240,Walking
10.88,864,256,-240,Walking
10.92,880,232,-184,Walking
10.96,856,248,-176,Walking
11,864,256,-176,Walking
11.04,856,256,-176,Walking
11.08,816,280,-160,Walking
11.12,808,272,-184,Walking
11.16,832,256,-184,Walking
11.2,872,248,-184,Walking
11.24,912,232,-120,Walking
11.28,960,216,-152,Walking
11.32,1064,232,-184,Walking
11.36,1128,256,-168,Walking
11.4,1000,280,-296,Walking
11.44,864,240,-312,Walking
11.48,936,264,-168,Walking
11.52,984,240,-256,Walking
11.56,984,256,-176,Walking
11.6,880,304,-320,Walking
11.64,776,328,-288,Walking
11.68,720,376,-296,Walking
11.72,680,504,-240,Walking
11.76,656,552,-216,Walking
11.8,640,544,-168,Walking
11.84,672,512,-128,Walking
11.88,728,512,104,Walking
11.92,744,536,160,Walking
11.96,784,560,120,Walking
12,952,704,136,Walking
12.04,992,592,176,Walking
12.08,888,552,-16,Walking
12.12,808,544,-48,Walking
12.16,936,512,-264,Walking
12.2,1032,280,-112,Walking
12.24,1008,112,-192,Walking
12.28,1016,96,-184,Walking
12.32,976,176,-176,Walking
12.36,984,288,-208,Walking
12.4,952,240,-216,Walking
12.44,888,184,-208,Walking
12.48,840,104,-304,Walking
12.52,784,80,-200,Walking
12.56,760,120,-144,Walking
12.6,784,200,-152,Walking
12.64,880,256,-168,Walking
12.68,976,296,-160,Walking
12.72,1152,304,-192,Walking
12.76,1312,328,-152,Walking
12.8,1288,368,-128,Walking
12.84,1056,432,-224,Walking
12.88,896,400,-72,Walking
12.92,872,360,-24,Walking
12.96,872,320,-96,Walking
13,872,296,-112,Walking
13.04,840,304,-160,Walking
13.08,784,312,-248,Walking
13.12,760,280,-384,Walking
13.16,744,208,-328,Walking
13.2,720,176,-384,Walking
13.24,736,152,-432,Walking
13.28,800,152,-472,Walking
13.32,904,152,-368,Walking
13.36,952,160,-312,Walking
13.4,976,208,-256,Walking
13.44,1040,248,-304,Walking
13.48,1096,280,-240,Walking
13.52,1064,328,-176,Walking
13.56,944,328,-168,Walking
13.6,944,336,-192,Walking
13.64,984,320,-176,Walking
13.68,968,272,-168,Walking
13.72,920,256,-160,Walking
13.76,888,280,-168,Walking
13.8,856,296,-168,Walking
13.84,816,288,-192,Walking
13.88,808,272,-264,Walking
13.92,832,240,-200,Walking
13.96,912,224,-200,Walking
14,952,224,-192,Walking
14.04,952,232,-184,Walking
14.08,976,248,-248,Walking
14.12,944,240,-272,Walking
14.16,1048,224,-264,Walking
14.2,992,192,-240,Walking
14.24,904,160,-168,Walking
14.28,920,200,-144,Walking
14.32,936,256,-152,Walking
14.36,920,256,-216,Walking
14.4,864,272,-232,Walking
14.44,824,248,-264,Walking
14.48,776,232,-296,Walking
14.52,760,256,-280,Walking
14.56,752,296,-304,Walking
14.6,760,328,-312,Walking
14.64,800,360,-376,Walking
14.68,872,336,-360,Walking
14.72,928,304,-360,Walking
14.76,944,288,-352,Walking
14.8,1008,336,-296,Walking
14.84,1144,400,-280,Walking
14.88,1176,352,-216,Walking
14.92,1024,304,-200,Walking
14.96,896,304,-160,Walking
15,896,344,-104,Walking
15.04,960,328,-104,Walking
15.08,976,240,-64,Walking
15.12,936,192,-80,Walking
15.16,880,216,-96,Walking
15.2,840,272,-64,Walking
