Time(ms),X(mG),Y(mG),Z(mG),Classification
1.43794E+12,648,-1344,-32,Jumping Jacks
1.43794E+12,656,-2712,-208,Jumping Jacks
1.43794E+12,360,-3400,304,Jumping Jacks
1.43794E+12,496,-2768,632,Jumping Jacks
1.43794E+12,984,-1528,72,Jumping Jacks
1.43794E+12,1840,-264,-120,Jumping Jacks
1.43794E+12,2376,832,248,Jumping Jacks
1.43794E+12,2312,1168,-184,Jumping Jacks
1.43794E+12,2000,1176,80,Jumping Jacks
1.43794E+12,1688,1104,208,Jumping Jacks
1.43794E+12,1472,968,-32,Jumping Jacks
1.43794E+12,1448,872,-344,Jumping Jacks
1.43794E+12,1416,880,-320,Jumping Jacks
1.43794E+12,2264,1360,-1952,Jumping Jacks
1.43794E+12,3176,2264,-3208,Jumping Jacks
1.43794E+12,3632,3168,-3968,Jumping Jacks
1.43794E+12,3360,3136,-1400,Jumping Jacks
1.43794E+12,2672,2656,-768,Jumping Jacks
1.43794E+12,2120,2000,80,Jumping Jacks
1.43794E+12,2008,1512,440,Jumping Jacks
1.43794E+12,1904,1184,440,Jumping Jacks
1.43794E+12,1960,1144,440,Jumping Jacks
1.43794E+12,2184,1240,448,Jumping Jacks
1.43794E+12,2536,1296,104,Jumping Jacks
1.43794E+12,2384,1192,176,Jumping Jacks
1.43794E+12,2360,928,656,Jumping Jacks
1.43794E+12,1776,-576,1632,Jumping Jacks
1.43794E+12,976,-1888,912,Jumping Jacks
1.43794E+12,560,-2984,-112,Jumping Jacks
1.43794E+12,384,-3536,-240,Jumping Jacks
1.43794E+12,784,-2664,32,Jumping Jacks
1.43794E+12,1408,-1192,24,Jumping Jacks
1.43794E+12,2320,208,304,Jumping Jacks
1.43794E+12,2480,1112,352,Jumping Jacks
1.43794E+12,2616,1184,776,Jumping Jacks
1.43794E+12,2472,1600,408,Jumping Jacks
1.43794E+12,1928,1216,448,Jumping Jacks
1.43794E+12,1392,1040,-280,Jumping Jacks
1.43794E+12,1288,1272,-992,Jumping Jacks
1.43794E+12,1408,1392,-1808,Jumping Jacks
1.43794E+12,2744,2024,-4080,Jumping Jacks
1.43794E+12,3416,2400,-2608,Jumping Jacks
1.43794E+12,3752,2976,-432,Jumping Jacks
1.43794E+12,3232,2376,-840,Jumping Jacks
1.43794E+12,2400,1824,-400,Jumping Jacks
1.43794E+12,2048,1360,160,Jumping Jacks
1.43794E+12,1992,1144,512,Jumping Jacks
1.43794E+12,2016,1056,392,Jumping Jacks
1.43794E+12,2168,1008,560,Jumping Jacks
1.43794E+12,2264,864,592,Jumping Jacks
1.43794E+12,2096,704,784,Jumping Jacks
1.43794E+12,1808,648,1120,Jumping Jacks
1.43794E+12,1632,8,-280,Jumping Jacks
1.43794E+12,648,-744,-1392,Jumping Jacks
1.43794E+12,312,-2416,-2960,Jumping Jacks
1.43794E+12,-120,-2816,-1456,Jumping Jacks
1.43794E+12,104,-2480,-1304,Jumping Jacks
1.43794E+12,456,-1504,-384,Jumping Jacks
1.43794E+12,1192,-552,176,Jumping Jacks
1.43794E+12,1824,408,952,Jumping Jacks
1.43794E+12,2176,856,864,Jumping Jacks
1.43794E+12,2112,1128,680,Jumping Jacks
1.43794E+12,1792,1088,584,Jumping Jacks
1.43794E+12,1648,992,184,Jumping Jacks
1.43794E+12,1672,1032,40,Jumping Jacks
1.43794E+12,1792,1128,-1368,Jumping Jacks
1.43794E+12,1992,1200,-1552,Jumping Jacks
1.43794E+12,2888,1952,-3344,Jumping Jacks
1.43794E+12,3352,1648,-4080,Jumping Jacks
1.43794E+12,3696,2832,-1456,Jumping Jacks
1.43794E+12,3240,2320,-1128,Jumping Jacks
1.43794E+12,2504,1968,-232,Jumping Jacks
1.43794E+12,2008,1488,80,Jumping Jacks
1.43794E+12,1944,1352,272,Jumping Jacks
1.43794E+12,2048,1256,472,Jumping Jacks
1.43794E+12,2136,1344,544,Jumping Jacks
1.43794E+12,2256,1336,80,Jumping Jacks
1.43794E+12,2312,1152,480,Jumping Jacks
1.43794E+12,2184,464,872,Jumping Jacks
1.43794E+12,1448,16,776,Jumping Jacks
1.43794E+12,816,-824,80,Jumping Jacks
1.43794E+12,48,-2456,680,Jumping Jacks
1.43794E+12,-40,-3264,112,Jumping Jacks
1.43794E+12,240,-2560,616,Jumping Jacks
1.43794E+12,632,-1624,-368,Jumping Jacks
1.43794E+12,1416,-680,16,Jumping Jacks
1.43794E+12,2208,424,-8,Jumping Jacks
1.43794E+12,2376,960,-280,Jumping Jacks
1.43794E+12,2144,1144,-128,Jumping Jacks
1.43794E+12,1752,1176,-72,Jumping Jacks
1.43794E+12,1672,1112,-576,Jumping Jacks
1.43794E+12,1712,544,-928,Jumping Jacks
1.43794E+12,1864,904,-1408,Jumping Jacks
1.43794E+12,2368,448,-2016,Jumping Jacks
1.43794E+12,2784,296,-4080,Jumping Jacks
1.43794E+12,3296,-440,-4080,Jumping Jacks
1.43794E+12,3688,-1200,-3400,Jumping Jacks
1.43794E+12,3160,-1048,-2104,Jumping Jacks
1.43794E+12,2360,-352,-944,Jumping Jacks
1.43794E+12,1944,168,-408,Jumping Jacks
1.43794E+12,1888,336,-760,Jumping Jacks
1.43794E+12,2056,496,-672,Jumping Jacks
1.43794E+12,2216,800,-120,Jumping Jacks
1.43794E+12,2360,1024,-136,Jumping Jacks
1.43794E+12,2464,1000,40,Jumping Jacks
1.43794E+12,2288,672,392,Jumping Jacks
1.43794E+12,1664,-176,456,Jumping Jacks
1.43794E+12,496,-1552,-56,Jumping Jacks
1.43794E+12,88,-2816,-48,Jumping Jacks
1.43794E+12,-64,-3048,200,Jumping Jacks
1.43794E+12,352,-2136,0,Jumping Jacks
1.43794E+12,808,-984,32,Jumping Jacks
1.43794E+12,1608,-152,312,Jumping Jacks
1.43794E+12,2064,696,648,Jumping Jacks
1.43794E+12,2416,848,920,Jumping Jacks
1.43794E+12,2648,1192,280,Jumping Jacks
1.43794E+12,2432,1256,0,Jumping Jacks
