Time(ms),X(mG),Y(mG),Z(mG),Classification
 1438774588668, +136,  +24,-1064,Staying Still
 1438774588709, +128,  +24,-1064,Staying Still
 1438774588750, +120,  +32,-1072,Staying Still
 1438774588791, +120,  +32,-1072,Staying Still
 1438774588832, +120,  +24,-1072,Staying Still
 1438774588873, +120,  +32,-1072,Staying Still
 1438774588914, +120,  +24,-1072,Staying Still
 1438774588955, +128,  +24,-1072,Staying Still
 1438774588996, +128,  +32,-1064,Staying Still
 1438774589037, +128,  +40,-1072,Staying Still
 1438774589078, +136,  +32,-1080,Staying Still
 1438774589119, +128,  +40,-1072,Staying Still
 1438774589160, +128,  +40,-1072,Staying Still
 1438774589201, +128,  +24,-1072,Staying Still
 1438774589242, +128,  +32,-1072,Staying Still
 1438774589283, +128,  +24,-1072,Staying Still
 1438774589324, +136,  +24,-1064,Staying Still
 1438774589365, +128,  +24,-1080,Staying Still
 1438774589406, +128,  +24,-1072,Staying Still
 1438774589447, +120,  +32,-1064,Staying Still
 1438774589488, +128,  +32,-1088,Staying Still
 1438774589529, +128,  +40,-1080,Staying Still
 1438774589570, +120,  +32,-1080,Staying Still
 1438774589611, +120,  +32,-1072,Staying Still
 1438774589652, +120,  +32,-1064,Staying Still
 1438774589693, +128,  +32,-1064,Staying Still
 1438774589734, +120,  +32,-1064,Staying Still
 1438774589775, +120,  +32,-1080,Staying Still
 1438774589816, +128,  +32,-1072,Staying Still
 1438774589857, +120,  +32,-1072,Staying Still
 1438774589898, +120,  +24,-1072,Staying Still
 1438774589939, +120,  +24,-1080,Staying Still
 1438774589980, +120,  +32,-1048,Staying Still
 1438774590021, +120,  +32,-1080,Staying Still
 1438774590062, +120,  +24,-1072,Staying Still
 1438774590103, +128,  +24,-1072,Staying Still
 1438774590144, +120,  +32,-1072,Staying Still
 1438774590185, +120,  +32,-1064,Staying Still
 1438774590226, +120,  +32,-1080,Staying Still
 1438774590267, +120,  +32,-1072,Staying Still
 1438774590308, +128,  +32,-1072,Staying Still
 1438774590349, +128,  +40,-1080,Staying Still
 1438774590390, +120,  +32,-1080,Staying Still
 1438774590431, +136,  +24,-1064,Staying Still
 1438774590472, +128,  +24,-1080,Staying Still
 1438774590513, +128,  +24,-1072,Staying Still
 1438774590554, +128,  +24,-1072,Staying Still
 1438774590595, +128,  +32,-1064,Staying Still
 1438774590636, +128,  +24,-1072,Staying Still
 1438774590677, +120,  +24,-1080,Staying Still
 1438774590718, +120,  +24,-1080,Staying Still
 1438774590759, +120,  +24,-1080,Staying Still
 1438774590800, +120,  +32,-1072,Staying Still
 1438774590841, +120,  +32,-1064,Staying Still
 1438774590882, +120,  +32,-1080,Staying Still
 1438774590923, +120,  +32,-1080,Staying Still
 1438774590964, +120,  +24,-1072,Staying Still
 1438774591005, +128,  +16,-1072,Staying Still
 1438774591046, +120,  +24,-1080,Staying Still
 1438774591087, +120,  +24,-1064,Staying Still
 1438774591128, +120,  +24,-1056,Staying Still
 1438774591169, +128,  +32,-1072,Staying Still
 1438774591210, +128,  +24,-1064,Staying Still
 1438774591251, +128,  +24,-1072,Staying Still
 1438774591292, +120,  +32,-1072,Staying Still
 1438774591333, +120,  +32,-1064,Staying Still
 1438774591374, +128,  +40,-1072,Staying Still
 1438774591415, +120,  +32,-1064,Staying Still
 1438774591456, +120,  +40,-1088,Staying Still
 1438774591497, +120,  +24,-1072,Staying Still
 1438774591538, +128,  +32,-1080,Staying Still
 1438774591579, +128,  +32,-1088,Staying Still
 1438774591620, +128,  +32,-1072,Staying Still
 1438774591661, +120,  +32,-1072,Staying Still
 1438774591702, +120,  +32,-1080,Staying Still
 1438774591743, +120,  +32,-1080,Staying Still
 1438774591784, +120,  +32,-1072,Staying Still
 1438774591825, +128,  +16,-1080,Staying Still
 1438774591866, +120,  +32,-1080,Staying Still
 1438774591907, +128,  +24,-1088,Staying Still
 1438774591948, +112,  +24,-1072,Staying Still
 1438774591989, +112,  +24,-1064,Staying Still
 1438774592030, +120,  +32,-1080,Staying Still
 1438774592071, +120,  +24,-1064,Staying Still
 1438774592112, +120,  +24,-1072,Staying Still
 1438774592153, +120,  +32,-1072,Staying Still
 1438774592194, +112,  +32,-1080,Staying Still
 1438774592235, +128,  +32,-1072,Staying Still
 1438774592276, +128,  +40,-1080,Staying Still
 1438774592317, +120,  +24,-1080,Staying Still
 1438774592358, +120,  +24,-1080,Staying Still
 1438774592399, +120,  +24,-1064,Staying Still
 1438774592440, +120,  +32,-1064,Staying Still
 1438774592481, +120,  +32,-1080,Staying Still
 1438774592522, +120,  +32,-1072,Staying Still
 1438774592563, +120,  +32,-1080,Staying Still
 1438774592604, +112,  +32,-1088,Staying Still
