Time(ms),X(mG),Y(mG),Z(mG),Classification
 1437933249669,+1000, +232,  -56,Pushups
 1437933249710,+1024, +168, -224,Pushups
 1437933249751,+1032, +176, -160,Pushups
 1437933249792,+1032, +168, -160,Pushups
 1437933249833,+1040, +128,  -96,Pushups
 1437933249874,+1040, +112, -128,Pushups
 1437933249915,+1032, +136, -200,Pushups
 1437933249956,+1024, +160, -160,Pushups
 1437933249997,+1016, +176, -224,Pushups
 1437933250038,+1016, +192, -160,Pushups
 1437933250079,+1000, +208, -272,Pushups
 1437933250120,+1016, +192, -288,Pushups
 1437933250161,+1024, +168, -248,Pushups
 1437933250202,+1016, +136, -272,Pushups
 1437933250243, +992, +152, -320,Pushups
 1437933250284, +992, +104, -304,Pushups
 1437933250325, +992, +120, -416,Pushups
 1437933250366, +952,  +24, -432,Pushups
 1437933250407, +976,  -88, -384,Pushups
 1437933250448, +952,  -72, -584,Pushups
 1437933250489, +944, -152, -528,Pushups
 1437933250530, +904, -336, -560,Pushups
 1437933250571, +896, -368, -616,Pushups
 1437933250612, +912, -240, -432,Pushups
 1437933250653, +928, -248, -608,Pushups
 1437933250694, +904, -240, -560,Pushups
 1437933250735, +880, -296, -520,Pushups
 1437933250776, +880, -264, -568,Pushups
 1437933250817, +848, -160, -512,Pushups
 1437933250858, +864, -144, -560,Pushups
 1437933250899, +952,   +0, -600,Pushups
 1437933250940,+1000, -104, -336,Pushups
 1437933250981,+1136, +160, -536,Pushups
 1437933251022,+1064,  +64, -328,Pushups
 1437933251063,+1096,  +88,  -48,Pushups
 1437933251104, +968, +200, -408,Pushups
 1437933251145,+1072,  +32, +112,Pushups
 1437933251186,+1048, +152, -272,Pushups
 1437933251227,+1056, +176, -144,Pushups
 1437933251268,+1040, +200, -208,Pushups
 1437933251309,+1032, +184, -248,Pushups
 1437933251350,+1032, +184, -192,Pushups
 1437933251391,+1032, +168, -216,Pushups
 1437933251432,+1032, +168,  -32,Pushups
 1437933251473,+1024, +152, -224,Pushups
 1437933251514,+1024, +152, -240,Pushups
 1437933251555,+1016, +128, -216,Pushups
 1437933251596,+1032, +168, -144,Pushups
 1437933251637,+1024, +168, -240,Pushups
 1437933251678,+1032, +128, -216,Pushups
 1437933251719,+1016,  +72, -288,Pushups
 1437933251760,+1024,  +80, -352,Pushups
 1437933251801,+1040, +128, -136,Pushups
 1437933251842,+1024,  +80, -384,Pushups
 1437933251883,+1040, +192, -128,Pushups
 1437933251924,+1024,  +16, -432,Pushups
 1437933251965, +984, +136, -368,Pushups
 1437933252006, +936,   -8, -624,Pushups
 1437933252047, +904, -104, -576,Pushups
 1437933252088, +912, -336, -512,Pushups
 1437933252129, +888, -344, -592,Pushups
 1437933252170, +896, -224, -552,Pushups
 1437933252211, +888, -256, -552,Pushups
 1437933252252, +880, -264, -520,Pushups
 1437933252293, +896, -336, -392,Pushups
 1437933252334, +800, -336, -704,Pushups
 1437933252375, +824,  -64, -544,Pushups
 1437933252416, +888, -184, -536,Pushups
 1437933252457, +920,  -56, -256,Pushups
 1437933252498,+1024,  -56, -328,Pushups
 1437933252539, +952, +136, -344,Pushups
 1437933252580,+1040, +120, -144,Pushups
 1437933252621,+1008, +136, -504,Pushups
 1437933252662, +992, +184,  -64,Pushups
 1437933252703, +992, +192, -200,Pushups
 1437933252744,+1000, +192,  -24,Pushups
 1437933252785,+1008, +160, -272,Pushups
 1437933252826,+1024, +192,  -56,Pushups
 1437933252867,+1032,  +96, -224,Pushups
 1437933252908,+1032,  +88, -264,Pushups
 1437933252949,+1032,   -8, -112,Pushups
 1437933252990,+1032, +128, -160,Pushups
 1437933253031,+1032, +136, -176,Pushups
 1437933253072,+1016, +176, -152,Pushups
 1437933253113,+1016, +160, -216,Pushups
 1437933253154,+1016, +192, -272,Pushups
 1437933253195,+1016, +200, -232,Pushups
 1437933253236,+1008, +200, -288,Pushups
 1437933253277,+1040, +120, -160,Pushups
 1437933253318,+1040, +112, -336,Pushups
 1437933253359,+1040, +160, -312,Pushups
 1437933253400, +992, +120, -424,Pushups
 1437933253441,+1008,  +96, -320,Pushups
 1437933253482, +968,  +40, -448,Pushups
 1437933253523,+1000,  +24, -400,Pushups
 1437933253564, +920,  -32, -664,Pushups
 1437933253605, +920, -192, -552,Pushups
 1437933253646, +856, -216, -752,Pushups
 1437933253687, +936, -312, -408,Pushups
 1437933253728, +904, -320, -632,Pushups
 1437933253769, +920, -232, -520,Pushups
 1437933253810, +888, -216, -520,Pushups
 1437933253851, +936, -128, -536,Pushups
 1437933253892, +960, -224, -528,Pushups
 1437933253933, +936,  -56, -776,Pushups
 1437933253974, +976, -136, -424,Pushups
 1437933254015, +984,  -24, -464,Pushups
 1437933254056,+1048,  -32,  -56,Pushups
 1437933254097,+1096,  +80, -296,Pushups
 1437933254138,+1040, -160,   +0,Pushups
 1437933254179,+1088,  +96, -280,Pushups
 1437933254220,+1016, +208, -128,Pushups
 1437933254261,+1056, +160, -136,Pushups
 1437933254302,+1056, +168, -240,Pushups
 1437933254343,+1080, +224,  -48,Pushups
 1437933254384,+1048, +216, -200,Pushups
 1437933254425,+1040, +128, -136,Pushups
 1437933254466,+1040, +128, -208,Pushups
 1437933254507,+1040, +128, -136,Pushups
 1437933254548,+1024, +184, -208,Pushups
 1437933254589,+1024, +160, -240,Pushups
 1437933254630,+1024, +136, -192,Pushups
 1437933254671,+1016, +192, -128,Pushups
 1437933254712,+1024, +208, -160,Pushups
 1437933254753,+1024, +136, -264,Pushups
 1437933254794,+1024, +112, -248,Pushups
 1437933254835,+1000, +144, -256,Pushups
 1437933254876,+1024, +128, -248,Pushups
 1437933254917,+1016, +128, -296,Pushups
 1437933254958,+1016, +136, -328,Pushups
